Weight (gram),Length (cm),Volume (ml)
24.73,11.04,70.08
21.24,14.22,59.36
25.56,13.64,66.95
30.38,11.88,64.29
20.71,13.35,78.85
20.71,12.35,68.80
30.69,13.45,69.71
26.22,14.66,61.47
19.42,16.69,60.64
24.98,10.48,61.24
19.45,17.89,70.34
19.44,8.91,61.37
23.33,12.87,69.19
11.48,14.49,88.83
12.51,13.82,75.58
18.91,11.83,62.41
25.12,14.31,65.32
28.45,12.18,62.15
22.67,13.89,68.43
27.34,11.56,64.21
20.15,15.23,71.28
26.88,10.97,59.74
23.45,13.67,72.16
29.12,12.45,63.58
24.78,14.12,67.89
21.36,11.78,61.23
27.92,13.45,69.54
25.67,12.89,64.32
23.18,15.67,73.21
28.34,11.23,60.45
22.45,14.78,68.92
26.73,13.21,66.78
24.12,12.56,62.34
27.89,11.89,63.56
25.34,14.45,67.23
21.67,13.78,65.89
29.45,12.34,61.78
23.89,15.12,70.45
26.12,11.67,59.23
24.56,13.89,68.67
28.78,12.45,64.89
22.34,14.23,66.45
27.23,11.78,62.34
25.67,13.56,67.89
23.45,12.89,63.21
29.12,14.67,71.23
21.78,11.23,60.56
26.45,13.45,65.78
24.89,12.78,62.89
28.23,15.23,69.34
22.67,11.89,61.23
27.56,14.56,68.45
25.12,13.23,64.56
23.78,12.67,63.78
29.34,11.45,60.23
21.45,14.89,67.89
26.89,13.78,66.23
24.23,12.34,62.45
28.67,15.67,70.12
22.12,11.89,61.56
27.34,14.23,68.78
25.78,13.56,65.34
23.45,12.89,63.89
29.78,11.23,59.67
21.23,14.67,66.45
26.56,13.12,64.78
24.89,12.45,62.34
28.12,15.89,71.23
22.45,11.78,61.89
27.89,14.34,69.56
25.34,13.67,66.23
23.67,12.23,63.45
29.23,11.56,60.78
21.56,14.89,67.12
26.78,13.34,65.89
24.12,12.67,62.23
28.45,15.23,70.45
22.78,11.89,61.34
27.23,14.56,68.67
25.67,13.89,66.78
23.12,12.45,63.89
29.56,11.23,59.23
21.89,14.67,66.56
26.34,13.78,64.89
24.67,12.34,62.12
28.89,15.67,71.34
22.23,11.89,61.67
27.56,14.23,69.45
25.12,13.56,65.78
23.45,12.89,63.23
29.78,11.45,60.56
21.34,14.78,66.89
26.67,13.23,64.23
24.89,12.67,62.78
28.23,15.12,70.89
22.56,11.89,61.34
27.89,14.45,68.12
25.34,13.78,66.45
23.67,12.34,63.67
29.12,11.67,59.78
21.78,14.89,67.23
26.45,13.23,65.56
24.78,12.56,62.89
28.67,15.67,71.12
22.12,11.89,61.45
27.34,14.34,69.78
25.67,13.67,66.23
23.12,12.45,63.56
29.45,11.23,60.23
21.56,14.78,66.67
26.89,13.89,64.89
24.23,12.23,62.34
28.56,15.23,70.67
22.89,11.89,61.78
27.23,14.56,68.89
25.67,13.45,65.12
23.34,12.78,63.45
29.67,11.56,59.56
21.23,14.89,67.34
26.56,13.23,64.78
24.89,12.67,62.23
28.12,15.67,71.23
22.45,11.89,61.45
27.78,14.34,69.56
25.23,13.78,66.89
23.56,12.34,63.12
29.89,11.67,60.34
21.67,14.89,67.78
26.34,13.23,65.23
24.67,12.56,62.67
28.78,15.23,70.89
22.23,11.89,61.56
27.56,14.45,68.78
25.12,13.67,66.34
23.45,12.78,63.89
29.23,11.45,59.67
21.89,14.78,66.45
26.67,13.89,64.56
24.12,12.23,62.34
28.45,15.67,71.12
22.78,11.89,61.23
27.34,14.34,69.45
25.67,13.56,65.78
23.12,12.89,63.23
29.56,11.67,60.56
21.45,14.89,67.89
26.89,13.23,64.12
24.23,12.45,62.78
28.67,15.23,70.34
22.12,11.89,61.67
27.78,14.56,68.89
25.34,13.78,66.23
23.67,12.34,63.56
29.12,11.45,59.78
21.78,14.78,66.89
26.45,13.89,65.12
24.78,12.67,62.45
28.23,15.67,71.23
22.56,11.89,61.34
27.89,14.23,69.56
25.23,13.56,66.78
23.56,12.89,63.12
29.78,11.23,60.23
21.34,14.89,67.45
26.67,13.45,64.89
24.12,12.78,62.67
28.89,15.23,70.89
22.23,11.89,61.78
27.56,14.56,68.34
25.89,13.67,65.67
23.23,12.34,63.45
29.45,11.67,59.56
21.67,14.78,66.78
26.12,13.23,64.23
24.45,12.56,62.89
28.78,15.67,71.12
22.89,11.89,61.45
27.34,14.34,69.78
25.67,13.78,66.34
23.12,12.89,63.67
29.89,11.45,60.34
21.56,14.89,67.23
26.78,13.56,65.56
24.23,12.23,62.78
28.45,15.23,70.67
22.67,11.89,61.89
27.23,14.45,68.12
25.56,13.67,66.89
23.89,12.34,63.23
29.34,11.67,59.67
21.23,14.78,66.45
26.56,13.89,64.78
24.89,12.56,62.34
28.12,15.67,71.23
22.45,11.89,61.56
27.78,14.23,69.45
25.12,13.56,65.78
23.45,12.78,63.89
29.67,11.23,60.12
21.89,14.89,67.34
26.34,13.45,64.67
24.67,12.67,62.23
28.89,15.23,70.89
22.23,11.89,61.78
27.56,14.56,68.34
25.89,13.78,66.12
23.23,12.34,63.56
29.45,11.67,59.45
21.67,14.78,67.23
26.12,13.23,65.56
24.45,12.89,62.89
28.78,15.67,71.34
22.89,11.89,61.23
27.34,14.34,69.67
